id,year,examType,number,category,subject
261111,2026,CSAT,1,THEORY,단순 관점이 바라보는 독해 능력
261122,2026,CSAT,2,SOCIETY,(가) 법조문의 의미 해석 방법 / (나) 보증 계약에 관한 규범
261133,2026,CSAT,3,SCIENCE,열팽창 현상과 액추에이터
261144,2026,CSAT,4,HUMAN,인격 동일성에 관한 다양한 관점

260911,2026,MOCK_9,1,THEORY,생성형 인공지능 시대의 읽기 방식
260924,2026,MOCK_9,2,HUMAN,(가) 영화에 반영된 사회와 이념 / (나) SF의 장르적 특성과 사회적 의미
260932,2026,MOCK_9,3,SOCIETY,공공 저널리즘
260945,2026,MOCK_9,4,TECH,지각부호화를 이용한 오디오 신호 압축

260611,2026,MOCK_6,1,THEORY,동형이의어
260622,2026,MOCK_6,2,SOCIETY,(가) 여러 가지 법 모델 / (나) 임대차보호법
260633,2026,MOCK_6,3,SCIENCE,수소의 저장 및 추출과 활용
260644,2026,MOCK_6,4,HUMAN,플로리디의 정보 철학

251111,2025,CSAT,1,THEORY,밑줄 긋기
251124,2025,CSAT,2,HUMAN,(가) 한반도의 개화 개념 / (나) 중국의 서양 문물 수용 운동
251135,2025,CSAT,3,TECH,기계 학습에서의 확산 모델
251142,2025,CSAT,4,SOCIETY,사회적 상호작용의 개념과 명예훼손의 처벌에 대한 논쟁

250911,2025,MOCK_9,1,THEORY,시각 자료가 포함된 글 읽기
250922,2025,MOCK_9,2,SOCIETY,재판매 가격 유지 행위와 부당 광고에 대한 규제
250935,2025,MOCK_9,3,TECH,블록체인
250946,2025,MOCK_9,4,ART,(가) 바쟁의 영화 이론 / (나) 정신분석학적 영화 이론

250611,2025,MOCK_6,1,THEORY,여러 글의 정보를 종합하며 읽기
250622,2025,MOCK_6,2,SOCIETY,기업 경영에서의 과두제적 경영
250633,2025,MOCK_6,3,SCIENCE,플라스틱의 분자 구조와 형성 원리
250644,2025,MOCK_6,4,HUMAN,(가) 도덕 문장의 진리 적합성에 대한 에이어의 견해 / (나) 도덕 문장의 타당성에 대한 행크스의 관점

240611,2024,MOCK_6,1,THEORY,독서 동기
240622,2024,MOCK_6,2,SOCIETY,공포 소구 이론
240635,2024,MOCK_6,3,TECH,화학 반응과 촉매
240644,2024,MOCK_6,4,HUMAN,(가) 확장 인지 이론 / (나) 체험으로서의 지각

240911,2024,MOCK_9,1,THEORY,읽기 발달 단계
240922,2024,MOCK_9,2,SOCIETY,데이터의 소유권 주체
240935,2024,MOCK_9,3,TECH,초정밀 저울의 작동 원리
240944,2024,MOCK_9,4,HUMAN,(가) 신분제의 변화 양상 / (나) 실학자들의 신분제 개혁론

241111,2024,CSAT,1,THEORY,초인지
241122,2024,CSAT,2,SOCIETY,경마식 보도
241135,2024,CSAT,3,TECH,이상치와 결측치의 처리
241144,2024,CSAT,4,HUMAN,(가) 『노자』에 대한 한비자의 해석 / (나) 『노자』에 대한 다양한 유학자들의 해석

230611,2023,MOCK_6,1,THEORY,읽기 능력과 읽기 요소
